analog_libid,name_analog,parent_drug_libid,delta_mass,analog_mgf_scan,chemical_source,name_connected_compound,pharmacologic_class,therapeutic_area,therapeutic_indication,mechanism_of_action,inchikey
CCMSLIB00012723241,"related spectra of 'sulfamethazine (delta mass:27.99)', 'sulfadimidine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207282|CCMSLIB00000223720|CCMSLIB00000562784|CCMSLIB00000579538|CCMSLIB00000841836|CCMSLIB00003135019|CCMSLIB00003137995|CCMSLIB00005775295|CCMSLIB00005776263|CCMSLIB00005776685|CCMSLIB00010143272|CCMSLIB00010143273|CCMSLIB00010143275|CCMSLIB00010143278,27.99|-14.02,881,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine|sulfadimidine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723242,related spectra of '100-90-3 (delta mass:-14.02)',CCMSLIB00005775295,-14.02,882,Drug_analog|Background/QAQC,n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723243,related spectra of '100-90-3 (delta mass:-14.02)',CCMSLIB00000207738|CCMSLIB00000207744,-14.02,883,Drug_analog|Background/QAQC,n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723244,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00005775295|CCMSLIB00010143272,27.99|-14.02,884,Drug_analog|Background/QAQC,n-acetyl sulfamethazine|sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,LJKAKWDUZRJNPJ-UHFFFAOYSA-N|ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012723245,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00000207282|CCMSLIB00005775295|CCMSLIB00010143272,27.99|-14.02,885,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723246,"related spectra of 'sulfamethazine (delta mass:27.99)', 'sulfadimidine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000223720|CCMSLIB00000562784|CCMSLIB00000579538|CCMSLIB00000841836|CCMSLIB00003135019|CCMSLIB00003137995|CCMSLIB00005775295|CCMSLIB00005776263|CCMSLIB00005776685|CCMSLIB00010143275|CCMSLIB00010143276|CCMSLIB00010143278|CCMSLIB00010143279,27.99|-14.02,886,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine|sulfadimidine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723247,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00000223720|CCMSLIB00005775295,27.99|-14.02,887,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723248,"related spectra of 'sulfadimidine (delta mass:28.0)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000562784|CCMSLIB00005775295|CCMSLIB00005776685|CCMSLIB00010143273,28.00|-14.02,888,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine|sulfadimidine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723249,related spectra of 'sulfamethazine (delta mass:27.99)',CCMSLIB00000207274|CCMSLIB00000207280,27.99,889,Drug_analog|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012723250,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207282|CCMSLIB00005774684|CCMSLIB00005775295|CCMSLIB00010143272|CCMSLIB00010143273,27.99|-14.02,890,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723251,"related spectra of 'sulfadimidine (delta mass:28.0)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000562784|CCMSLIB00005775295|CCMSLIB00005776685,28.00|-14.02,891,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine|sulfadimidine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723252,related spectra of '100-90-3 (delta mass:-14.02)',CCMSLIB00005775295,-14.02,892,Drug_analog|Background/QAQC,n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723253,related spectra of 'sulfamethazine (delta mass:28.0)',CCMSLIB00000223720,27.99,893,Drug_analog|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012723254,related spectra of '100-90-3 (delta mass:-14.02)',CCMSLIB00005775295,-14.02,894,Drug_analog|Background/QAQC,n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723255,related spectra of '100-90-3 (delta mass:-14.02)',CCMSLIB00000207738,-14.02,895,Drug_analog|Background/QAQC,n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723256,related spectra of 'edetic acid (delta mass:14.02)',CCMSLIB00006113816|CCMSLIB00006113818|CCMSLIB00006113819|CCMSLIB00006113821|CCMSLIB00006113822,14.02,896,Drug_analog|Background/QAQC,edta,lead chelator|anticoagulant,critical care,metal toxicity,chelating agent,KCXVZYZYPLLWCC-UHFFFAOYSA-N
CCMSLIB00012723257,"related spectra of 'dolasetron (delta mass:-17.99)', 'dolasetron (delta mass:-18.01)'",CCMSLIB00000079079|CCMSLIB00003136568,-18.01,897,Drug_analog|Low_confidence,dolasetron,serotonin-3 (5-HT3) receptor antagonist,gastroenterology,nausea|vomiting,serotonin receptor antagonist,UKTAZPQNNNJVKR-AKJUYKBHSA-N
CCMSLIB00012723258,related spectra of 'artesunate (delta mass:-100.02)',CCMSLIB00006558128|CCMSLIB00006558150,-100.02,898,Drug_analog,artesunate,antimalarial,infectious disease,malaria,DNA synthesis inhibitor,FIHJKUPKCHIPAT-AHIGJZGOSA-N
CCMSLIB00012723259,related spectra of 'prednisolone (delta mass:-54.03)',CCMSLIB00005777127,-54.03,899,Drug_analog,prednisolone,corticosteroid,dermatology|pulmonary|endocrinology|oncology|rheumatology|gastroenterology|allergy|hematologic malignancy|transplant|ophthalmology|neurology/psychiatry,serious conditions where primarily anti-inflammatory and immunosuppressive effects are intended,glucocorticoid receptor agonist,OIGNJSKKLXVSLS-VWUMJDOOSA-N
CCMSLIB00012723260,"related spectra of '(1s,2s,3ar,8br)-2,3,3a,8b-tetrahydro-2-hydroxy-1-[(e,3r)-3-hydroxy-4-methyl-1-octen-6-yn-1-yl]-1h-cyclopenta[b]benzofuran-5-butanoic acid (delta mass:-56.03)'",CCMSLIB00010147765,-56.03,900,Drug_analog,"2,3,3a,8b-tetrahydro-2-hydroxy-1-[(e,3r)-3-hydroxy-4-methyl-1-octen-6-yn-1-yl]-1h-cyclopenta[b]benzofuran-5-butanoic acid",no_match,no_match,no_match,no_match,CTPOHARTNNSRSR-PCEABUQKSA-N
CCMSLIB00012723261,related spectra of 'amitriptyline (delta mass:28.99)',CCMSLIB00000078599|CCMSLIB00000211525|CCMSLIB00000214322|CCMSLIB00000214324|CCMSLIB00000215809|CCMSLIB00000215811,28.99,901,Drug_analog|Background/QAQC,amitriptyline,tricyclic antidepressant (TCA),neurology/psychiatry,depression|chronic pain,norepinephrine reuptake inhibitor|serotonin reuptake inhibitor,KRMDCWKBEZIMAB-UHFFFAOYSA-N
CCMSLIB00012723262,related spectra of 'stanozolol-4b-oh (delta mass:-20.03)',CCMSLIB00005723881,-20.03,902,Drug_analog,stanozolol-4b-oh,androstan derivatives,genetics|dermatology,hereditary angioedema,androgen receptor agonist,OCUSYXNRARMJHS-JQPLYGKBSA-N
CCMSLIB00012723263,related spectra of 'mesterolone (delta mass:1.98)',CCMSLIB00005723783,1.98,903,Drug_analog|Low_confidence,mesterolone,no_match,no_match,no_match,no_match,UXYRZJKIQKRJCF-ZRCUWBMESA-N
CCMSLIB00012723264,related spectra of 'mesterolone (delta mass:1.98)',CCMSLIB00005723783,1.98,904,Drug_analog|Low_confidence,mesterolone,no_match,no_match,no_match,no_match,UXYRZJKIQKRJCF-ZRCUWBMESA-N
CCMSLIB00012723265,related spectra of 'mesterolone (delta mass:1.98)',CCMSLIB00005723783,1.98,905,Drug_analog|Low_confidence,mesterolone,no_match,no_match,no_match,no_match,UXYRZJKIQKRJCF-ZRCUWBMESA-N
CCMSLIB00012723266,related spectra of 'drostanolone (delta mass:1.98)',CCMSLIB00005723746,1.98,906,Drug_analog|Low_confidence,drostanolone,no_match,no_match,no_match,no_match,FDGQIVOIHOIMNK-TZAHHXAYSA-N
CCMSLIB00012723267,related spectra of 'ethylestrenol (delta mass:36.02)',CCMSLIB00005723752,36.02,907,Drug_analog,ethylestrenol,no_match,no_match,no_match,no_match,GUBNWXDDDXQJOQ-VIVHBNLFSA-N
CCMSLIB00012723268,related spectra of 'ethylestrenol (delta mass:36.02)',CCMSLIB00005723752,36.02,908,Drug_analog,ethylestrenol,no_match,no_match,no_match,no_match,GUBNWXDDDXQJOQ-VIVHBNLFSA-N
CCMSLIB00012723269,related spectra of 'mesterolone (delta mass:2.02)',CCMSLIB00005723783,2.02,909,Drug_analog|Low_confidence,mesterolone,no_match,no_match,no_match,no_match,UXYRZJKIQKRJCF-ZRCUWBMESA-N
CCMSLIB00012723270,related spectra of 'sertraline (delta mass:1.99)',CCMSLIB00000078642|CCMSLIB00000084936|CCMSLIB00003135311|CCMSLIB00005776039,2,910,Drug_analog,sertraline,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|panic disorders|posttraumatic stress disorder|premenstrual syndrome|social anxiety disorder,selective serotonin reuptake inhibitor (SSRI),VGKDLMBJGBXTGI-SJCJKPOMSA-N
CCMSLIB00012723271,related spectra of 'fluconazole (delta mass:1.0)',CCMSLIB00000077102|CCMSLIB00000078101|CCMSLIB00000085015|CCMSLIB00000208374|CCMSLIB00000208375|CCMSLIB00000208380|CCMSLIB00000208381|CCMSLIB00000579592|CCMSLIB00000841916|CCMSLIB00003135571|CCMSLIB00003136278|CCMSLIB00005760798|CCMSLIB00005763009|CCMSLIB00005772589|CCMSLIB00005773811|CCMSLIB00005775215|CCMSLIB00005776520|CCMSLIB00010133134|CCMSLIB00010133135|CCMSLIB00010133137|CCMSLIB00010133140,1,911,Drug_analog,fluconazole,azole antifungal,infectious disease,candidiasis|esophageal candidiasis|vaginal candidiasis|cryptococcal meningitis,sterol demethylase inhibitor,RFHAOTPXVQNOHP-UHFFFAOYSA-N
CCMSLIB00012723272,related spectra of 'oxaprozin (delta mass:14.02)',CCMSLIB00000078946,14.02,912,Drug_analog,oxaprozin,nonsteroidal anti-inflammatory drug,rheumatology|neurology/psychiatry,osteoarthritis|rheumatoid arthritis,cyclooxygenase inhibitor,OFPXSFXSNFPTHF-UHFFFAOYSA-N
CCMSLIB00012723273,related spectra of 'chloroquine (delta mass:-12.04)',CCMSLIB00010139364,-12.04,913,Drug_analog,chloroquine,antimalarial,infectious disease,malaria|amebiasis,antimalarial agent,WHTVZRBIWZFKQO-UHFFFAOYSA-N
CCMSLIB00012723274,related spectra of 'terbinafine (delta mass:15.99)',CCMSLIB00005736700|CCMSLIB00010137418|CCMSLIB00010137421,15.99,914,Drug_analog,terbinafine,allylamine antifungal,infectious disease,tinea pedis|tinea cruris|tinea corporis,fungal squalene epoxidase inhibitor,DOMXUEMWDBAQBQ-UHFFFAOYSA-N|DOMXUEMWDBAQBQ-WEVVVXLNSA-N
CCMSLIB00012723275,related spectra of '127-74-2 (delta mass:15.99)',CCMSLIB00000207753|CCMSLIB00000207759|CCMSLIB00005773222,15.99,915,Drug_analog,n-acetyl sulfadiazine,sulfonamide antibacterial,infectious disease,malaria|meningitis|urinary tract infections|conjunctivitis|trachoma|chancroid,bacterial antifolate,NJIZUWGMNCUKGU-UHFFFAOYSA-N
CCMSLIB00012723276,related spectra of 'sulfadoxine (delta mass:-1.98)',CCMSLIB00003135483,-1.98,916,Drug_analog|Background/QAQC,sulfadoxine,sulfonamide,infectious disease,malaria,dihydropteroate synthase inhibitor,PJSFRIWCGOHTNF-UHFFFAOYSA-N
CCMSLIB00012723277,"related spectra of 'edetic acid (delta mass:16.0)', 'edetic acid (delta mass:15.99)'",CCMSLIB00003134529|CCMSLIB00003135454|CCMSLIB00006113818|CCMSLIB00006113819|CCMSLIB00006113822,15.99,917,Drug_analog|Background/QAQC,edta,lead chelator|anticoagulant,critical care,metal toxicity,chelating agent,KCXVZYZYPLLWCC-UHFFFAOYSA-N
CCMSLIB00012723278,related spectra of 'fursultiamine (delta mass:-90.05)',CCMSLIB00010141022|CCMSLIB00010141026,-90.05,918,Drug_analog,fursultiamine,"vitamin B1, plain",metabolism,thiamine deficiency,vitamin B1 derivate,JTLXCMOFVBXEKD-FOWTUZBSSA-N
CCMSLIB00012723279,related spectra of 'fursultiamine (delta mass:-90.05)',CCMSLIB00010141022|CCMSLIB00010141026,-90.05,919,Drug_analog,fursultiamine,"vitamin B1, plain",metabolism,thiamine deficiency,vitamin B1 derivate,JTLXCMOFVBXEKD-FOWTUZBSSA-N
CCMSLIB00012723280,related spectra of 'sulfadoxine (delta mass:-1.98)',CCMSLIB00003139177,-1.98,920,Drug_analog|Background/QAQC,sulfadoxine,sulfonamide,infectious disease,malaria,dihydropteroate synthase inhibitor,PJSFRIWCGOHTNF-UHFFFAOYSA-N
CCMSLIB00012723281,related spectra of 'ajmaline (delta mass:-18.01)',CCMSLIB00005744138|CCMSLIB00005748033,-18.01,921,Drug_analog,ajmaline,no_match,cardiology,Wolff-Parkinson-White Syndrome (WPW),sodium channel blocker,CJDRUOGAGYHKKD-UORGRDHFSA-N
CCMSLIB00012723282,related spectra of 'oxandrolone (delta mass:3.99)',CCMSLIB00005723841,3.99,922,Drug_analog,oxandrolone,androstan derivatives,endocrinology,weight gain,androgen receptor agonist,CCCXHTHETXUUDU-REBFHUNPSA-N
CCMSLIB00012723283,related spectra of 'oxandrolone (delta mass:4.0)',CCMSLIB00005723841,3.99,923,Drug_analog,oxandrolone,androstan derivatives,endocrinology,weight gain,androgen receptor agonist,CCCXHTHETXUUDU-REBFHUNPSA-N
CCMSLIB00012723284,related spectra of 'sulfadimethoxine (delta mass:1.0)',CCMSLIB00000573240|CCMSLIB00005730395|CCMSLIB00005730777|CCMSLIB00005735659,1,924,Drug_analog|Background/QAQC,sulfadimethoxine,sulfonamide antimicrobial|veterinary,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,dihydropteroate synthetase inhibitor,ZZORFUFYDOWNEF-UHFFFAOYSA-N
CCMSLIB00012723285,"related spectra of 'pramoxine (delta mass:15.99)', 'pramoxine (delta mass:16.0)', 'pramocaine (delta mass:15.99)'",CCMSLIB00005735097|CCMSLIB00010129896|CCMSLIB00010129899,15.99,925,Drug_analog,pramoxine|pramocaine,anesthetics for topical use,neurology/psychiatry,local anesthetic,topical anesthetic,DQKXQSGTHWVTAD-UHFFFAOYSA-N
CCMSLIB00012723286,related spectra of 'artemisinin (delta mass:27.05)',CCMSLIB00000214217|CCMSLIB00000215699,27.05,926,Drug_analog,artemisinin,antimalarial,infectious disease,malaria,DNA synthesis inhibitor,BLUAFEHZUWYNDE-NNWCWBAJSA-N
CCMSLIB00012723287,related spectra of 'betulinic acid (delta mass:-129.08)',CCMSLIB00010124192,-129.08,927,Drug_analog,betulinic acid,no_match,NA,NA,apoptosis stimulant|NFkB pathway inhibitor,QGJZLNKBHJESQX-FZFNOLFKSA-N
CCMSLIB00012723288,related spectra of 'n(4)-acetylsulfadimethoxine (delta mass:-42.01)',CCMSLIB00000207725,-42.01,928,Drug_analog|Background/QAQC,n(4)-acetylsulfadimethoxine,sulfonamide antimicrobial|veterinary,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,dihydropteroate synthetase inhibitor,DQWIIKBKAIPUPY-UHFFFAOYSA-N
CCMSLIB00012723289,related spectra of 'sulfamethoxazole (delta mass:57.02)',CCMSLIB00003136182|CCMSLIB00003138040,57.02,929,Drug_analog|Low_confidence,sulfamethoxazole,sulfonamide antimicrobial,infectious disease,pneumonia|enteritis|urinary tract infections,PABA antagonist,JLKIGFTWXXRPMT-UHFFFAOYSA-N
CCMSLIB00012723290,related spectra of 'sulfamethoxazole (delta mass:57.02)',CCMSLIB00000579546|CCMSLIB00000841891|CCMSLIB00005753343|CCMSLIB00005754912,57.02,930,Drug_analog|Low_confidence,sulfamethoxazole,sulfonamide antimicrobial,infectious disease,pneumonia|enteritis|urinary tract infections,PABA antagonist,JLKIGFTWXXRPMT-UHFFFAOYSA-N
CCMSLIB00012723291,related spectra of 'sulfamethoxazole (delta mass:57.02)',CCMSLIB00005753529|CCMSLIB00005753712|CCMSLIB00005753814|CCMSLIB00005754900,57.02,931,Drug_analog|Low_confidence,sulfamethoxazole,sulfonamide antimicrobial,infectious disease,pneumonia|enteritis|urinary tract infections,PABA antagonist,JLKIGFTWXXRPMT-UHFFFAOYSA-N
CCMSLIB00012723292,related spectra of 'sulfamethoxazole (delta mass:57.02)',CCMSLIB00005753990|CCMSLIB00005754144|CCMSLIB00005754499,57.02,932,Drug_analog|Low_confidence,sulfamethoxazole,sulfonamide antimicrobial,infectious disease,pneumonia|enteritis|urinary tract infections,PABA antagonist,JLKIGFTWXXRPMT-UHFFFAOYSA-N
CCMSLIB00012723293,related spectra of 'sulfamethoxazole (delta mass:57.02)',CCMSLIB00000208207|CCMSLIB00000208213|CCMSLIB00000223672|CCMSLIB00000579546|CCMSLIB00000841891|CCMSLIB00003134960|CCMSLIB00005753378|CCMSLIB00005753514|CCMSLIB00005753529|CCMSLIB00005753601|CCMSLIB00005753625|CCMSLIB00005753712|CCMSLIB00005753814|CCMSLIB00005754000|CCMSLIB00005754054|CCMSLIB00005754069|CCMSLIB00005754528|CCMSLIB00005754884|CCMSLIB00005754900|CCMSLIB00005755088|CCMSLIB00005755137,57.02,933,Drug_analog|Low_confidence,sulfamethoxazole,sulfonamide antimicrobial,infectious disease,pneumonia|enteritis|urinary tract infections,PABA antagonist,JLKIGFTWXXRPMT-UHFFFAOYSA-N
CCMSLIB00012723294,related spectra of 'sulfamethazine (delta mass:31.99)',CCMSLIB00010143272,31.99,934,Drug_analog|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012723295,"related spectra of 'escitalopram (delta mass:-14.02)', 'citalopram (delta mass:-14.02)'",CCMSLIB00000085257|CCMSLIB00000085899|CCMSLIB00000212105|CCMSLIB00000212117|CCMSLIB00000223792,-14.02,935,Drug_analog,escitalopram|citalopram,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,selective serotonin reuptake inhibitor (SSRI),WSEQXVZVJXJVFP-FQEVSTJZSA-N|WSEQXVZVJXJVFP-UHFFFAOYSA-N
CCMSLIB00012723296,"related spectra of 'escitalopram (delta mass:-14.02)', 'citalopram (delta mass:-14.02)'",CCMSLIB00000212105|CCMSLIB00000212107|CCMSLIB00000212115|CCMSLIB00000212117|CCMSLIB00000212119|CCMSLIB00000223792|CCMSLIB00010142218|CCMSLIB00010142223|CCMSLIB00010142661|CCMSLIB00010142663|CCMSLIB00010142664|CCMSLIB00010142666,-14.02,936,Drug_analog,citalopram|escitalopram,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,selective serotonin reuptake inhibitor (SSRI),WSEQXVZVJXJVFP-UHFFFAOYSA-N|WSEQXVZVJXJVFP-FQEVSTJZSA-N
CCMSLIB00012723297,related spectra of 'citalopram (delta mass:-14.02)',CCMSLIB00000223792,-14.02,937,Drug_analog,citalopram,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,selective serotonin reuptake inhibitor (SSRI),WSEQXVZVJXJVFP-UHFFFAOYSA-N
CCMSLIB00012723298,"related spectra of 'citalopram (delta mass:-14.02)', 'escitalopram (delta mass:-14.01)'",CCMSLIB00000085257|CCMSLIB00000085473,-14.02,938,Drug_analog,escitalopram|citalopram,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,selective serotonin reuptake inhibitor (SSRI),WSEQXVZVJXJVFP-FQEVSTJZSA-N|WSEQXVZVJXJVFP-HXUWFJFHSA-N
CCMSLIB00012723299,related spectra of 'ethinylestradiol (delta mass:13.98)',CCMSLIB00000004895,13.98,939,Drug_analog|Low_confidence,ethinylestradiol,estrogen,obstetrics/gynecology,contraceptive,estrogen receptor agonist|estrogenic hormone,BFPYWIDHMRZLRN-SLHNCBLASA-N
CCMSLIB00012723300,related spectra of 'labetalol (delta mass:-18.01)',CCMSLIB00000077054|CCMSLIB00000579598|CCMSLIB00000841584|CCMSLIB00005766008|CCMSLIB00005772236|CCMSLIB00005776124|CCMSLIB00005776670|CCMSLIB00010138605|CCMSLIB00010138609,-18.01,940,Drug_analog,labetalol,beta-adrenergic receptor inhibitor,cardiology,hypertension,adrenergic receptor antagonist,SGUAFYQXFOLMHL-UHFFFAOYSA-N
CCMSLIB00012723301,"related spectra of 'quinine (delta mass:-14.02)', 'quinidine (delta mass:-14.02)'",CCMSLIB00004720019|CCMSLIB00010115318|CCMSLIB00010115321|CCMSLIB00010143178|CCMSLIB00010148758,-14.02,941,Drug_analog,quinidine|quinine,antimalarial|antiarrhythmic,infectious disease|cardiology,malaria|atrial fibrillation (AF)|ventricular arrhythmias,sodium channel blocker|hemozoin biocrystallization inhibitor,LOUPRKONTZGTKE-LHHVKLHASA-N|LOUPRKONTZGTKE-WZBLMQSHSA-N
CCMSLIB00012723302,related spectra of 'prednisolone (delta mass:-31.99)',CCMSLIB00010134091,-31.99,942,Drug_analog,prednisolone,corticosteroid,dermatology|pulmonary|endocrinology|oncology|rheumatology|gastroenterology|allergy|hematologic malignancy|transplant|ophthalmology|neurology/psychiatry,serious conditions where primarily anti-inflammatory and immunosuppressive effects are intended,glucocorticoid receptor agonist,OIGNJSKKLXVSLS-VWUMJDOOSA-N
